Symbol,1W Change %,1M Change %,3M Change %,6M Change %,1Y Change %,5Y Change %,Name,Category
BTC-USD,1.38,23.65,8.84,13.9,58.69,981.08,Bitcoin USD,Crypto All
ETH-USD,-0.78,56.67,-6.95,-18.78,-17.74,1083.85,Ethereum USD,Crypto All
USDT-USD,-0.01,0.01,0.01,-0.13,0.01,0.4,Tether USDt USD,Crypto All
XRP-USD,-0.45,13.53,-13.54,115.04,364.94,1061.43,XRP USD,Crypto All
BNB-USD,-0.66,9.33,-1.0,5.03,12.59,3671.52,BNB USD,Crypto All
SOL-USD,-1.88,18.66,-1.88,-30.35,-2.5,26456.69,Solana USD,Crypto All
USDC-USD,-0.02,-0.03,-0.02,-0.03,-0.03,0.43,USD Coin USD,Crypto All
DOGE-USD,2.28,42.49,-12.01,-42.72,50.35,8732.99,Dogecoin USD,Crypto All
ADA-USD,-2.63,18.04,-4.1,0.21,58.51,1213.07,Cardano USD,Crypto All
TRX-USD,-3.05,8.52,9.28,32.45,118.44,1606.65,TRON USD,Crypto All
STETH-USD,-0.82,55.87,-7.32,-19.07,-18.03,327.68,Lido Staked ETH USD,Crypto All
WTRX-USD,-2.67,9.9,9.47,32.99,119.32,339.34,Wrapped TRON USD,Crypto All
WBTC-USD,1.41,23.45,8.94,14.02,58.45,977.26,Wrapped Bitcoin USD,Crypto All
SUI20947-USD,-1.0,75.97,17.98,1.68,269.14,170.52,Sui USD,Crypto All
WSTETH-USD,-2.68,53.69,-8.27,-19.34,-17.06,-21.08,Lido wstETH USD,Crypto All
LINK-USD,-1.84,21.42,-12.63,7.25,-5.27,300.47,Chainlink USD,Crypto All
AVAX-USD,-4.28,12.75,-5.47,-34.56,-37.03,358.12,Avalanche USD,Crypto All
XLM-USD,-2.19,16.15,-16.41,23.31,170.93,312.31,Stellar USD,Crypto All
HYPE32196-USD,-0.36,43.73,7.9,327.29,327.29,327.29,Hyperliquid USD,Crypto All
SHIB-USD,-3.06,21.18,-3.06,-41.84,-39.41,inf,Shiba Inu USD,Crypto All
WETH-USD,-1.8,54.46,-8.16,-19.75,-18.76,1069.64,WETH USD,Crypto All
HBAR-USD,-2.65,15.34,-10.78,44.6,73.42,434.71,Hedera USD,Crypto All
LEO-USD,-0.96,-7.23,-10.24,8.42,46.13,696.94,UNUS SED LEO USD,Crypto All
BCH-USD,-1.63,16.07,20.66,-12.94,-19.73,58.27,Bitcoin Cash USD,Crypto All
LTC-USD,-0.23,29.94,-26.84,13.93,20.31,117.96,Litecoin USD,Crypto All
TON11419-USD,-1.95,1.23,-15.14,-44.88,-51.99,337.77,Toncoin USD,Crypto All
DOT-USD,-3.11,19.1,-5.37,-20.42,-33.4,59.31,Polkadot USD,Crypto All
USDS33039-USD,-0.47,-0.58,-0.68,-0.32,-9.09,-9.09,USDS USD,Crypto All
BTCB-USD,1.44,23.54,8.98,14.04,58.63,972.5,Bitcoin BEP2 USD,Crypto All
XMR-USD,2.06,58.71,43.06,111.07,154.44,414.88,Monero USD,Crypto All
AETHWETH-USD,-0.8,1.23,1.23,1.23,1.23,1.23,Aave Ethereum WETH USD,Crypto All
WBETH-USD,-0.63,57.24,-6.25,-17.44,-15.15,42.09,Wrapped Beacon ETH USD,Crypto All
BGB-USD,5.25,13.57,5.99,280.72,374.71,6711.77,Bitget Token USD,Crypto All
WEETH-USD,-0.91,55.83,-6.79,-17.94,-15.88,15.72,Wrapped eETH USD,Crypto All
PEPE24478-USD,3.07,67.49,48.88,-33.0,48.88,inf,Pepe USD,Crypto All
DAI-USD,-0.01,0.0,-0.02,-0.01,-0.0,0.46,Dai USD,Crypto All
PI35697-USD,-19.11,11.06,-12.24,-12.24,-12.24,-12.24,Pi USD,Crypto All
USDE29470-USD,-0.0,0.13,0.15,-0.22,-0.08,-0.13,Ethena USDe USD,Crypto All
CBBTC32994-USD,0.21,21.86,7.47,12.54,78.68,78.68,Coinbase Wrapped BTC USD,Crypto All
AETHUSDT-USD,-0.03,0.06,0.06,0.06,0.06,0.06,Aave Ethereum USDT USD,Crypto All
UNI7083-USD,-3.26,12.93,-36.36,-36.16,-21.41,-12.89,Uniswap USD,Crypto All
TAO22974-USD,-5.39,41.95,-1.58,-14.79,12.85,327003.62,Bittensor USD,Crypto All
AAVE-USD,6.64,67.64,-5.85,46.93,178.95,46002.48,Aave USD,Crypto All
NEAR-USD,-3.15,27.8,-11.77,-51.87,-64.19,135.0,NEAR Protocol USD,Crypto All
APT21794-USD,-2.8,4.93,-18.32,-56.4,-36.41,-28.75,Aptos USD,Crypto All
OKB-USD,-2.12,2.82,4.82,18.75,6.66,908.96,OKB USD,Crypto All
JITOSOL-USD,-1.84,19.34,-0.1,-27.37,5.49,490.28,Jito Staked SOL USD,Crypto All
ONDO-USD,-3.98,8.42,-23.45,-8.73,3.24,319.37,Ondo USD,Crypto All
KAS-USD,-8.32,36.84,1.0,-32.5,-11.87,58338.37,Kaspa USD,Crypto All
